република македонија,158
работни места,56
финансиска поддршка,52
милиони евра,48
регионален пат,46
населени места,42
животната средина,38
здравствена заштита,37
локалната самоуправа,35
земјоделски производи,34
индустриска зона,30
нашиот план,29
средната класа,28
човековите права,28
средни претпријатија,28
социјална заштита,27
нашите цели,27
руралните средини,25
локален пат,24
нашата цел,23
бруто плата,23
високото образование,21
работниот однос,20
саден материјал,19
финансиски средства,19
европските стандарди,18
град скопје,18
земјоделски стопанства,18
средното образование,18
нови работни,18
новата влада,17
јавно обвинителство,17
земјоделско земјиште,17
првата година,17
обезбедиме финансиска,17
железнички станици,17
нов закон,16
граѓанскиот сектор,16
електрична енергија,16
борба против,16
младите луѓе,16
јавниот сектор,15
локално ниво,15
работно време,15
рурален развој,14
приватниот сектор,14
средните училишта,14
државниот буџет,14
претходната година,14
јавната администрација,14
нашата земја,14
земјоделското земјиште,14
нова пруга,14
енергетска ефикасност,13
голем број,13
нов концепт,13
македонски јазик,13
европската унија,13
надворешна политика,13
домашните претпријатија,13
социјалните станови,13
странските инвестиции,13
економски развој,13
стручни лица,13
посебни потреби,12
персонален данок,12
додадена вредност,12
нови технологии,12
урбанистички планови,12
топлинска енергија,12
невладините организации,12
здравствени установи,12
даночен систем,12
финансиски поволности,12
културното наследство,12
странски пазари,12
државните институции,12
регионален развој,12
инфраструктурни проекти,12
полициските службеници,12
публика македонија,12
детска градинка,12
политички партии,11
обновливи извори,11
централната власт,11
минимална плата,11
изборна единица,11
речните корита,11
ѓорче петров,11
активните мерки,11
вкупен број,11
јавен интерес,10
земјоделските површини,10
максимален износ,10
целата држава,10
мала група,10
државните универзитети,10
здравствени услуги,10
ад елем,10
законска обврска,10
основното образование,10
спортски клубови,10
национални институции,10
образовниот систем,10
природен гас,10
прва фаза,10
одговорна власт,10
патната инфраструктура,10
создадеме услови,10
културните политики,10
крива паланка,10
годишно ниво,10
македонската економија,10
потребна техничка,9
законски решенија,9
железнички краци,9
евра годишно,9
основно училиште,9
проект елс,9
студентските домови,9
граѓанските организации,9
рамномерен регионален,9
природни катастрофи,9
група луѓе,9
обезбедиме услови,9
донесеме нов,9
отворат нови,9
ипард програмата,9
судските такси,9
меѓународна соработка,9
јавна расправа,9
обезбедиме директна,9
одржлив развој,9
образовниот процес,9
воведеме систем,9
базирано насилство,9
локалните власти,9
нов систем,8
основни проекти,8
воведеме можност,8
техничка документација,8
истражувачки центар,8
обртни средства,8
инспекциските служби,8
државните органи,8
ефикасен систем,8
граѓаните преку,8
приватно партнерство,8
демир капија,8
здравствени работници,8
социјален работник,8
патен правец,8
предучилишно образование,8
законски измени,8
спортски федерации,8
фекална канализација,8
даночна стапка,8
природни непогоди,8
преработувачки капацитети,8
родово базирано,8
економски раст,8
социјален ризик,8
европските фондови,8
државно земјоделско,8
ниски примања,8
домашни претпријатија,8
работна сила,8
ранливите групи,8
народен правобранител,8
