република македонија,486
милиони евра,253
наредниот период,157
населено место,116
регионалниот пат,112
вкупен износ,103
медицински апарат,100
работни места,99
милиони денари,95
здравствен дом,90
животната средина,75
локален пат,69
средните училишта,60
општа болница,60
електрична енергија,58
ново село,57
нови работни,52
универзитетска клиника,51
град скопје,51
детски градинки,51
екг апарат,50
локална самоуправа,46
инфузиони пумпи,46
финансиска поддршка,44
свети николе,44
спортски сали,44
човекови права,44
руралните средини,44
гази баба,42
денари годишно,41
природниот гас,41
демир хисар,40
голем број,40
стари лица,40
крива паланка,40
отпадни води,39
македонски јазик,38
парична помош,38
културното наследство,38
годишно ниво,38
државните патишта,37
проценета вредност,37
внатрешни работи,37
демир капија,37
населеното место,36
минерални суровини,36
прв дел,35
проектна документација,34
механичко миење,34
кисела вода,34
основните училишта,33
земјоделски производи,33
предвидени средства,33
преку програмата,33
високото образование,32
регионален развој,32
плански регион,32
евра здравствен,31
урбанистички план,31
рентген апарат,30
македонски брод,30
изминатиот период,30
здравствените услуги,30
невработени лица,29
здравствени установи,29
ѓорче петров,29
туристичката понуда,29
млади лица,29
пречистителна станица,29
реализира преку,29
борба против,28
јавниот сектор,28
економски развој,28
локално ниво,28
разгледа можноста,27
дневни центри,27
социјална заштита,26
преку проектот,26
геолошки истражувања,26
развојни зони,25
евра универзитетска,25
проектот предвидува,25
европската унија,25
плазма стерилизатор,25
средни претпријатија,25
родителска грижа,24
археолошки истражувања,23
социјален ризик,23
метри пат,23
патна инфраструктура,23
посебни потреби,23
тековен буџет,23
евра општа,23
планските региони,23
ну завод,22
финансиски средства,22
социјално осигурување,22
четиригодишен период,22
приватно партнерство,22
економскиот раст,22
електронско здравство,22
здравствено осигурување,22
проектот опфаќа,21
државните институции,21
канализациона мрежа,21
втора фаза,21
тирз скопје,21
шуто оризари,21
земјоделско земјиште,21
приватниот сектор,21
детали види,20
меѓународните стандарди,20
обновливи извори,20
миење инструменти,20
неколкугодишната програма,20
полициски службеници,20
владата предводена,20
ните патишта,20
година започна,20
стручно образование,20
здравствена заштита,20
клиничка болница,20
инвестициски одржувања,19
реконструира преку,19
технолошки развој,19
финансиски институции,19
дигитален рентген,19
наредниот четиригодишен,19
средното образование,19
старо нагоричане,19
македонска каменица,18
рек битола,18
првата фаза,18
кредитна линија,18
фекална канализација,18
гоце делчев,18
индустриската зона,18
меѓународни финансиски,18
експресен пат,18
персонален данок,18
државните универзитети,18
преку министерството,18
правни лица,18
рурален развој,18
македонското село,17
локална патна,17
поголем број,17
основното образование,17
денари месечно,17
планирани средства,17
апарати буџет,17
вкупно нови,17
отпадните води,17
социјална политика,17
магистрален гасовод,17
хидроелектрични централи,17
нови апарати,17
спортско игралиште,17
студентските домови,17
работно време,16
интензивна нега,16
ипа програма,16
спортски федерации,16
акциски план,16
ранливите категории,16
електронски систем,16
преносен екг,16
социјално ранливите,16
центар жупа,16
крвни садови,16
установа вкупно,16
ад елем,16
оштетен вид,15
надворешни работи,15
минерална суровина,15
овие лица,15
крвен притисок,15
надлежни институции,15
пациент монитор,15
соработка помеѓу,15
образовниот процес,15
европскиот суд,15
градежни работи,15
нова современа,15
светска банка,15
четири години,15
спортски клубови,15
прв пат,15
информатичко општество,14
државно земјиште,14
социјална парична,14
здравствена установа,14
нова опрема,14
нов закон,14
годишна возраст,14
соодветна заштита,14
странски јазици,14
обезбедат преку,14
техничка документација,14
мајка тереза,14
физички лица,14
законски измени,14
скијачкиот центар,14
енергетска ефикасност,14
цел зголемување,14
категории граѓани,14
старт ап,14
евра годишно,14
задолжително социјално,14
отворање нови,14
колор доплер,14
индустриски развојни,14
македонска пошта,13
јавна здравствена,13
отворен ден,13
нашата земја,13
вкупната инвестиција,13
државна сопственост,13
градежно земјиште,13
проектиран буџет,13
пристапен пат,13
создадат услови,13
големи инвестиции,13
поволни услови,13
еднакви можности,13
железничка станица,13
наставниот кадар,13
јавните финансии,13
цел подобрување,13
хематолошки бројач,13
реката вардар,13
спортската академија,13
детални геолошки,13
археолошкиот локалитет,12
царинската управа,12
нови инвестиции,12
мобилна апликација,12
национален центар,12
охридското езеро,12
нови технологии,12
следните проекти,12
клинички центар,12
мој термин,12
република македо,12
предвидени активности,12
постојниот буџет,12
царинска управа,12
студиски програми,12
ад мепсо,12
работен однос,12
преку воведување,12
преку јавно,12
законска обврска,12
јавни приходи,12
локални младински,12
возрасни лица,11
